"","mean_R1","mean_R2","mean_R3","mean_R4","mean_R5","mean_R6","mean_T1","mean_T2","mean_T3","mean_T4","mean_T5","mean_T6","mean_T7","mean_R1_with_ties","mean_R2_with_ties","mean_R3_with_ties","mean_R4_with_ties","mean_R5_with_ties","mean_R6_with_ties","sum_check1","sum_check2","sample_size_in_simulaton"
"1",0,0,0,0,0,0,0.0565786341388101,0.41201249626596,0.0246319750127287,0.0991571275795331,0.227326947711904,0.0154256208996449,0.164867198391419,0.169430657323927,0.0634799939177974,0.347147588387502,0.0475066643547567,0.283062678321316,0.0893724176947008,1,1,1
"10001",0.0256832471887882,0.00212935675916936,0.183321607819597,0.000994362952694464,0.0789181607988027,0.00513020309416296,0.0311470028891245,0.355392599971535,0.013014792930068,0.0623537115512257,0.171441798021791,0.00928657497559662,0.0611865810474447,0.137175411152153,0.0325439091994374,0.456936570324167,0.0223428104134342,0.297989080068091,0.0530122188427172,1,1,2
"20001",0.0319459244653724,0.00220734300789546,0.309758773409449,0.000985121664422294,0.118712823821553,0.00528026962786771,0.018753437200002,0.302868703423334,0.00760842635507111,0.0393021426284995,0.128605870085326,0.00561666394899268,0.0283545003622147,0.110351328168405,0.0191181436427619,0.530221810224148,0.0123234168768233,0.294523996907839,0.0334613041800221,1,1,3
"30001",0.032065496161894,0.00190631103097142,0.40088339870795,0.000825460446551904,0.138435289519008,0.00450341939318994,0.011947885253709,0.262473567356318,0.00472349871169457,0.0255402266733489,0.0982211261706097,0.00356941688856051,0.0149049036861938,0.0896341524884189,0.0121491127164718,0.583714896085779,0.00745606886104507,0.284926337148207,0.0221194327000773,1,1,4
"40001",0.0300699780454909,0.00157521541763969,0.469674329162723,0.000665847307808068,0.147677677683168,0.00364782857546094,0.00796293792560282,0.231168755452904,0.0030782118904073,0.0171200676060486,0.0764555566180857,0.00237308537814797,0.00853050893651252,0.0737009768067539,0.00816497855893384,0.624908236687637,0.00481324743150446,0.273243840702063,0.0151687198131076,1,1,5
"50001",0.0274429103543423,0.00129027170079325,0.523528661823766,0.000534291808550912,0.15119642143215,0.00291166122538986,0.0055099685779165,0.206279952714761,0.00208831420591079,0.0118069633849861,0.0605715386856977,0.00163983108942249,0.00519921299631344,0.061350199485535,0.00573170703384832,0.657820943023381,0.00326489995560313,0.261106414981409,0.0107258355202238,1,1,6
"60001",0.024767480840682,0.00106077482359101,0.566918070330755,0.000431313106954598,0.151482845245048,0.00232189421042469,0.003936171265838,0.18600732814369,0.00146560184121458,0.00835315712649945,0.0487553872641167,0.00117111612060576,0.00332885968057917,0.0516680700524225,0.00416922846357609,0.684854237981422,0.00230448203462796,0.249217897826906,0.0077860836410449,1,1,7
"70001",0.0222685773877779,0.000879614320805983,0.602696155431218,0.000351753230923245,0.149908520919444,0.00186074365816257,0.00289032190031252,0.169154753015398,0.00105883542647356,0.00604598456300648,0.039805758310077,0.000860452146218045,0.00221852969018238,0.0439863724413364,0.00312475629243499,0.707546166042319,0.00168115196563278,0.23787864465701,0.00578290860126632,1,1,8
"80001",0.020020375596926,0.000737065309524921,0.632766228111828,0.000290223053857905,0.147259928588832,0.00150243180464325,0.00217394659847216,0.154907209095215,0.000784413616133522,0.00446635458318955,0.0329148805084024,0.000648000325124131,0.00152894280785164,0.0378196129516719,0.00240286257263167,0.726932096714945,0.00126125382579534,0.227201534229343,0.00438263970561339,1,1,9
"90001",0.0180328713780579,0.000624453442674533,0.658444562667363,0.00024230927261831,0.144002846551241,0.0012235648414735,0.00167011990012698,0.142692275875953,0.000594024184351653,0.0033605561036637,0.027529467354786,0.000498700221371385,0.00108424820631862,0.0328133730399008,0.00188957153781015,0.743736142317119,0.000969379509866265,0.217209970575436,0.00338156301986762,1,1,10
"100001",0.0162897693897588,0.000534855534302854,0.680669398274212,0.000204650666342473,0.140420056491626,0.0010053455894643,0.00130743909647199,0.132096281758051,0.000458658062866763,0.00257076386771422,0.0232633901242197,0.000391239939390645,0.000788151205577557,0.0287065425343676,0.0015155535864971,0.758480592749611,0.000760958201734104,0.207884937838772,0.00265141508901772,0.999999999999999,1,11
"110001",0.0147654621913083,0.000462962783858873,0.700126958446042,0.000174749929575529,0.136686339686729,0.000833344573078703,0.00104091163069284,0.122812609322749,0.000360306181753623,0.00199631569124658,0.0198423351420697,0.000312239085073847,0.000585465335821701,0.0253046631336598,0.0012371156977125,0.771552008234421,0.000608600118959547,0.199188379749697,0.00210923306554909,1,1,12
"120001",0.0134326107794913,0.000404761254693777,0.717330461834578,0.00015076305961723,0.132910910850855,0.000696680933985887,0.000841391444669482,0.114608902192247,0.000287455913940192,0.00157152437196557,0.0170681645354281,0.00025305353801554,0.000443319290512875,0.0224612753179589,0.0010258702944551,0.783242881746834,0.000494904334013908,0.19107501068138,0.00170005762535758,1,1,13
"130001",0.012265384245233,0.000357223922837979,0.73267132127351,0.000131325491008919,0.129162229230614,0.000587193204592809,0.00068952723958064,0.107305641953804,0.000232553919652852,0.0012526206230446,0.0147955522864277,0.000207955328367038,0.000341471281325626,0.0200648358884581,0.000862877087032756,0.793778830273847,0.000408491995239802,0.18349827239926,0.00138669235616247,1,1,14
"140001",0.0112406738376619,0.000318061159137262,0.746453273125559,0.000115421196301901,0.125482923472409,0.000498753834212719,0.000572184035382553,0.100761762748655,0.000190528168399948,0.00100987612316337,0.0129163919099228,0.000173061628216484,0.000267088760977453,0.0180294766038108,0.000735198784433022,0.803336865248344,0.000341730888106359,0.176413257701815,0.00114347077349062,1,1,15
"150001",0.0103383718269578,0.000285530939639817,0.758915695476117,0.000102287524210851,0.121898993566348,0.000426742669640543,0.000480266739426878,0.094864747648842,0.000157900989919989,0.000822741187399709,0.0113492110061787,0.000145685990423962,0.000211824434894626,0.0162884147722431,0.000633811377047675,0.81205797887611,0.000289385086865264,0.169778042056951,0.00095236783078283,1,1,16
"160001",0.00954123729277542,0.000258298193307584,0.770249889829979,9.13468814808189e-05,0.118425607168895,0.000367655040245711,0.00040736254185289,0.089523656051373,0.000132242453210929,0.000676779031218047,0.0100318680053489,0.000123934987828526,0.000170122522484018,0.0147892063201237,0.000552300711895628,0.820056005612087,0.000247789355747883,0.163554178463938,0.000800519536207535,1,1,17
"170001",0.0088345997373006,0.000235331578579796,0.780610672088356,8.21577901034193e-05,0.115070819173318,0.000318813869435843,0.000348874522194942,0.0846641150019008,0.000111825311548535,0.000561694598356242,0.00891643675888707,0.000106451457107522,0.000138208112911561,0.0134902900633269,0.000486029253716288,0.827423982654235,0.000214330859916708,0.157706758658932,0.000678608509873491,1,1,18
