"","mean_R1","mean_R2","mean_R3","mean_R4","mean_R5","mean_R6","mean_T1","mean_T2","mean_T3","mean_T4","mean_T5","mean_T6","mean_T7","mean_R1_with_ties","mean_R2_with_ties","mean_R3_with_ties","mean_R4_with_ties","mean_R5_with_ties","mean_R6_with_ties","sum_check1","sum_check2","sample_size_in_simulaton"
"1",0,0,0,0,0,0,0.227326947711904,0.102720451694011,0.0991571275795331,0.0246319750127287,0.0565786341388101,0.062146746697408,0.427438117165605,0.213192477119625,0.215976533398923,0.150889229110678,0.151891623332738,0.134915899547637,0.133134237490398,1,1,1
"10001",0.0256832471887882,0.0302614800947377,0.0130057763579107,0.0141235599741764,0.00557495175669101,0.00513020309416296,0.251784654218897,0.104322526732346,0.0964444352008071,0.0391380813011162,0.0929878548181358,0.0989845895139749,0.222558639748256,0.235162608332014,0.242739208585883,0.148754073757861,0.148931178956277,0.114398362398131,0.110014567969834,1,1,2
"20001",0.0576226813710802,0.0673505672197951,0.0278532644071942,0.0285672478310552,0.0115017730387576,0.0101228714296988,0.236398416463464,0.090854724696844,0.0810441597293084,0.0406527320685937,0.102046418706511,0.107193365626375,0.138791777411322,0.249977061857955,0.262278421166602,0.147435799010759,0.145817973410784,0.100387464323364,0.0941032802305369,1,1,3
"30001",0.0860072028372772,0.100623695732153,0.0399635228949764,0.0392485204958615,0.0157516235878887,0.0133189773734685,0.217364093889788,0.0783681012463672,0.067835713378491,0.0378730599080842,0.10106570197094,0.105352313144472,0.0972274735402332,0.261426679691013,0.278186478172655,0.145885003427002,0.142047112680715,0.0900767830884865,0.0823779429401282,1,1,4
"40001",0.109677310022484,0.128885310618231,0.0492818653864573,0.0466735469041177,0.0184860931452833,0.0150785873506416,0.200868225200865,0.0685205838221703,0.0577409603431421,0.0342104453197082,0.097025305941506,0.1005215204459,0.0730302454994945,0.270795783176918,0.291751891024862,0.144226517851545,0.137976494881888,0.0820233152994716,0.0732259977653158,1,1,5
"50001",0.129423136921795,0.152950342050023,0.0565055803359433,0.0518031596086594,0.0201713994504673,0.0159232050639796,0.187212469374292,0.0607899470084294,0.0499557108205233,0.0306841771133576,0.0922518224604622,0.0950053360866863,0.0573237137053811,0.278709235123403,0.303613197064742,0.142580417354619,0.133837635346494,0.075462413795591,0.0657971013151502,1,1,6
"60001",0.146148644309395,0.173741836452828,0.0622292671946563,0.0553475505988989,0.021167451417144,0.0162123019077502,0.175811237471426,0.0545801005332594,0.043784380485154,0.0275431271211944,0.087506899096678,0.0895553209299868,0.0463718824816289,0.285536359673718,0.314153762733806,0.141001414089896,0.129746048386741,0.0699577123246424,0.0596047027911959,1,1,7
"70001",0.16055406898334,0.191975412626889,0.0668655008837964,0.0577754002084572,0.0217098952443603,0.0161655927792781,0.166111843048434,0.0494687724915694,0.0387671412747803,0.024807808291134,0.0830336018077322,0.0844128384610924,0.0383521238991365,0.291518812061279,0.323629774031508,0.139508708683303,0.12575741072625,0.0652402062855681,0.0543450882120913,1,1,8
"80001",0.173145065833842,0.208171058531201,0.0706925023778016,0.0593963256140896,0.0219490193516299,0.0159155600971532,0.15770771861518,0.0451743643144278,0.0346052932645278,0.0224371533192555,0.0788961507671284,0.0796425676734008,0.0322672202403618,0.296824870565057,0.332224071715552,0.13810562995864,0.121898126123114,0.0611326482085318,0.0498146534291052,1,1,9
"90001",0.184286141517187,0.222707240059405,0.0739009671263492,0.0604207290730407,0.021981876745232,0.0155433588391119,0.150312134985569,0.0415063654341729,0.0310983465316227,0.0203789897643406,0.0750949910544985,0.0752452939387256,0.0275235649307448,0.301576965359011,0.340073215343343,0.136788906192476,0.118179810130006,0.0575118151662796,0.0458692878088844,1,1,10
"100001",0.194244842544195,0.235865065845791,0.0766252842883056,0.0609962168515684,0.0218726182658091,0.015099799382155,0.143721398612881,0.0383317053968404,0.0281061506801662,0.0185846894983155,0.0716082611277937,0.0711988632416468,0.0237451042645324,0.305867189791954,0.347282714150477,0.135552784928045,0.114606241189897,0.0542883330908091,0.0424027368488179,1,0.999999999999999,11
"110001",0.203222103402252,0.247858481298225,0.0789629151325835,0.0612293396963512,0.0216646951133385,0.0146173232386453,0.137787577765072,0.0355542851145332,0.0255270621746427,0.017012635839406,0.0684075525958382,0.0674739861963987,0.0206820424327128,0.309766675654826,0.353936270351079,0.134390841059888,0.111176870953991,0.0513951626624269,0.0393341793177885,1,1,12
"120001",0.211372289461218,0.258854187441397,0.0809864121330731,0.0611988707058887,0.0213881996791709,0.0141169437850319,0.132400452813441,0.0331025932328875,0.0232850755823145,0.0156282453779579,0.0654640479997313,0.0640405427176383,0.01816213907025,0.313331563046179,0.360101708385311,0.133296755927757,0.10788870303424,0.0487806421629686,0.0366006274435431,1,1,13
"130001",0.218816465776774,0.268984841089738,0.0827510333152045,0.0609641962994452,0.0210643737887547,0.0136123800712847,0.127475827576273,0.0309220324227155,0.0213219290814593,0.0144030432279694,0.0627508412095998,0.0608700606520289,0.0160629754887522,0.316606962751169,0.365834947785348,0.132264632712821,0.104737353747648,0.0464040741955559,0.0341520288074578,1,1,14
"140001",0.225651330032376,0.278357964615039,0.0842997013954215,0.0605708065464501,0.0207084502618912,0.0131125918506506,0.122947903870364,0.028970008286727,0.0195920528836763,0.0133136012518189,0.0602436841544636,0.0579365835589687,0.0142953212921535,0.319629677593482,0.371182761878397,0.131289101164709,0.101717678316465,0.0442328085798564,0.0319479724670904,1,1,15
"150001",0.231955357780581,0.287062098837524,0.0856663265449175,0.0600540037177675,0.0203314919495159,0.0126233774064657,0.118764214652433,0.0272126804703667,0.0180592086000042,0.0123405842637655,0.0579210781728652,0.0552168475252174,0.0127927300785764,0.322430125872993,0.376184751606112,0.130365327546296,0.0988241534601411,0.0422402459963447,0.0299553955181133,1,1,16
"160001",0.237793126174219,0.295171153454545,0.086878093237713,0.0594414782874374,0.0199416120430965,0.0121484055476051,0.114882181019742,0.0256227456116049,0.0166941762836538,0.011467958413258,0.0557641019770445,0.0526901670233682,0.0115048009267125,0.325033734493731,0.380874794297219,0.129488983853156,0.0960511167620672,0.0404044308766467,0.0281469397171797,1,1,17
"170001",0.243218422850123,0.302747553484689,0.0879570730398546,0.0587551419466064,0.0195448024706478,0.0116898963634214,0.111266717515752,0.0241778816322961,0.015473115799402,0.0106823541626843,0.0537561477949001,0.0503382090522755,0.0103926838873482,0.327461969486674,0.385282130749927,0.128656201734677,0.0933929183536699,0.0387070343493627,0.0264997453256892,1,1,18
"180001",0.248276526861866,0.309844563243178,0.0889213871162878,0.0580124592269023,0.0191455078159668,0.0112490783847907,0.107888528367021,0.0228596289873371,0.0143763772121911,0.0099725596347597,0.0518826409345374,0.0481447367387984,0.00942600547636324,0.329733112425373,0.389432196708815,0.127863522989952,0.0908440171151243,0.0371326030397424,0.0249945477209933,1,0.999999999999999,19
"190001",0.253005913257405,0.316508036002992,0.0897860605557217,0.0572274322593387,0.0187470301713802,0.0108265001951881,0.104722869150744,0.0216525687388374,0.0133876191254279,0.00932911881617346,0.0501307745852766,0.0460953585021225,0.00858071863939202,0.331862854898647,0.393347269602657,0.127107851991011,0.0883990408463459,0.0356679937221176,0.0236149889392208,1,1,20
"200001",0.272733367921997,0.344554899726878,0.0929929308173927,0.0529947605807317,0.0168331825175178,0.00898110170970318,0.0914361798329587,0.0168918252915542,0.00965108053671478,0.00686392039902497,0.0428440187141572,0.0376084395915622,0.00561429235980687,0.340809182588856,0.41001292483244,0.12379656821355,0.0775602360381713,0.0296467707561085,0.0181743175708742,1,1,25
"210001",0.287735336535727,0.366086458608091,0.0949743188341983,0.0487308680222834,0.0151221636595851,0.00752699735693903,0.0812338754081164,0.013581186493336,0.00723332645672097,0.00523463979437869,0.0373547151178165,0.0312916503928967,0.00389446331991072,0.347678709018679,0.422998298728583,0.12109134685976,0.0686424336670773,0.0251791540234276,0.014410057702474,1,1,30
"220001",0.299569649106906,0.383129050952006,0.0962354117283834,0.0447330511114834,0.0136299741220577,0.00637796575469781,0.0731206803815584,0.0111699171491256,0.00558554108380806,0.00410391660478017,0.0330762982547662,0.02644907130324,0.00281947244718707,0.3531380504996,0.433383838868936,0.11882843150486,0.0612202693795386,0.0217368030735417,0.0116926066735231,1,1,35
"230001",0.309162468557684,0.396935167017139,0.0970468709838004,0.0410913157685448,0.0123364512134583,0.00546074383512407,0.0665000428645217,0.00935204096742596,0.00441691995547628,0.00328905958484505,0.0296515912982547,0.0226478585187313,0.00210946943499389,0.357589863878238,0.441860695947931,0.116900265355806,0.0549752832448142,0.0190085797287594,0.00966531184445038,1,1,40
"240001",0.31710442302408,0.408327687100016,0.0975652792119737,0.0378145259979561,0.0112141423136014,0.00471981456918297,0.0609878074689256,0.00794410621741708,0.00356143859379193,0.00268392539636809,0.0268509170260483,0.0196057257648845,0.00162020731575366,0.361293819824193,0.448894488269547,0.115232825386332,0.04966814272992,0.0167981926731196,0.00811253111688859,0.999999999999999,1,45
"250001",0.323792207371708,0.417872018351228,0.0978864872030407,0.0348802038835264,0.0102368261731544,0.00411420318447675,0.0563235435619877,0.00682971017732425,0.00291873450294513,0.00222335800015648,0.0245199236614569,0.0171313300167724,0.00127145391222289,0.364425849968801,0.454811364125978,0.113773213107802,0.0451171451287556,0.0149752692472652,0.00689715842139804,1,1,50
