"","mean_R1","mean_R2","mean_R3","mean_R4","mean_R5","mean_R6","mean_T1","mean_T2","mean_T3","mean_T4","mean_T5","mean_T6","mean_T7","mean_R1_with_ties","mean_R2_with_ties","mean_R3_with_ties","mean_R4_with_ties","mean_R5_with_ties","mean_R6_with_ties","sum_check1","sum_check2","sample_size_in_simulaton"
"1",0,0,0,0,0,0,0.0382090190832127,0.00746393229593351,0.00615107927717614,0.0247686255119719,0.153839941981008,0.153148006555645,0.616419395295053,0.198761046414619,0.198415078701938,0.183388503020979,0.18238610879892,0.118852844786461,0.118196418277083,1,1,1
"10001",0.0128604364820865,0.012917600364782,0.00292883302345047,0.00208642051236981,0.000520507525558672,0.000366107466323442,0.0887876477317806,0.016991246599646,0.0140984290497619,0.0305880357741771,0.211643244247117,0.212105799460634,0.394105691762312,0.228760164431921,0.229048605921375,0.182930360407217,0.180872816727953,0.0899944306728555,0.0883936218386782,1,1,2
"20001",0.0367342873628379,0.0371771104247023,0.00828110152193331,0.00589227736862095,0.00134042439408109,0.00094535085706029,0.123979892405683,0.0227485321957287,0.0189005506210724,0.029354165919154,0.225173866361651,0.226963572948932,0.262508867618543,0.255062644682929,0.256400321038433,0.175993778737047,0.172575817090047,0.0711432513879463,0.0688241870635974,1,1,3
"30001",0.0652768428762355,0.0665345647633827,0.014408606306568,0.0101938883423782,0.00213260385813154,0.00150121870364513,0.144486536333722,0.0250787972517494,0.0207780695748622,0.0259530116972736,0.219482369831761,0.222148411153181,0.18202507930711,0.277598809176829,0.280189551724686,0.167026703066175,0.161994641924251,0.0579860215504947,0.0552042725575646,1,1,4
"40001",0.0943935356607262,0.0968358447077482,0.0202642801713203,0.0142026167093208,0.00275338304580215,0.00192809177946002,0.154927355596041,0.0252235486520772,0.0207752630227469,0.0222506318791854,0.206265178132106,0.209249342098624,0.130930928544841,0.29681162394894,0.300746014979221,0.157830464987552,0.151036740694147,0.0483122947355736,0.0452628606545663,1,1,5
"50001",0.122072820658146,0.125953154939608,0.025382780586944,0.0175708698868596,0.00317799724795552,0.00220846992528706,0.15909193071921,0.0241701202225998,0.0197463101508442,0.0188830502570783,0.190834034914226,0.193663081274498,0.0972453792167424,0.313243366677655,0.318538224139253,0.149092421358147,0.140483128802321,0.040912145690585,0.0377307133320387,1,1,6
"60001",0.147520721547164,0.152978102645172,0.0296373969021579,0.0202141262390081,0.00343117819798533,0.00236218979384117,0.159490749590163,0.0225442247840835,0.0182394232477367,0.0160091311998102,0.175507868943228,0.177838520625374,0.0742263662842759,0.327391091861238,0.334013798800321,0.141034504813193,0.130624159222943,0.0350789172373115,0.0318575280649939,1,1,7
"70001",0.170556513076389,0.177638372291878,0.033063088267884,0.0221749262366463,0.00355067201331777,0.00241881142198708,0.157681915940382,0.0207069396221107,0.0165719069600513,0.0136158491492388,0.161219172370795,0.162827822500236,0.0579740101490837,0.339669392256825,0.347555576537034,0.133688479289184,0.121537125991637,0.0303744014238398,0.0271750245014794,1,1,8
"80001",0.191277886940703,0.199965732349205,0.0357582800830229,0.0235451808152757,0.00357230685207136,0.00240611865365032,0.154612331979108,0.0188543103824774,0.014914839985298,0.0116381105407394,0.148268020922097,0.1490252308414,0.0461616496549507,0.350411671667131,0.359478122035285,0.127013054011135,0.11320882450445,0.0265121255895049,0.0233762021924941,1,1,9
"90001",0.209891600898693,0.220122922214751,0.037836774061571,0.024427392482091,0.00352538345865759,0.00234657435996175,0.15085497118652,0.0170860543572072,0.0133533605328502,0.010003473726224,0.136675155665777,0.136520092287786,0.0373562447679105,0.359882705119493,0.370036494746555,0.120943419867715,0.105590159687061,0.023296188295025,0.0202510322841506,1,1,10
