"","mean_R1","mean_R2","mean_R3","mean_R4","mean_R5","mean_R6","mean_T1","mean_T2","mean_T3","mean_T4","mean_T5","mean_T6","mean_T7","mean_R1_with_ties","mean_R2_with_ties","mean_R3_with_ties","mean_R4_with_ties","mean_R5_with_ties","mean_R6_with_ties","sum_check1","sum_check2","sample_size_in_simulaton"
"1",0,0,0,0,0,0,0.133503505983916,0.103401194620399,0.00615107927717613,0.0247686255119719,0.535938249357465,0.0339065166351974,0.162330828613874,0.361776015773003,0.110760149411869,0.346724860091244,0.0470839360584992,0.0911400481684979,0.0425149904968865,1,1,1
"10001",0.139336829785771,0.0101446363574683,0.110052615031445,0.000518267394667416,0.00564916801065147,0.000366107466323442,0.0967312404237312,0.0700751295209592,0.00394216510242133,0.0108465346276289,0.489643671451687,0.0155841143908109,0.0471095204364346,0.440375872462886,0.0741539005041451,0.397763602257174,0.0181329938806893,0.0539615868243513,0.0156120440707544,1,1,2
"20001",0.239458036618473,0.0112720847478375,0.184325755170965,0.000492196651487663,0.00565022604603407,0.000331905259876621,0.063307673905612,0.0422642125206992,0.00205596463966915,0.00506575499209401,0.420193864848864,0.0075456733053783,0.0180366512930101,0.484214914544546,0.0497048669021677,0.418560902404581,0.00829912417284641,0.0323213183512657,0.00689887362459322,1,1,3
"30001",0.306800154564764,0.00991268405393818,0.230591787095386,0.000359603029655736,0.00447050746239959,0.000233518028057599,0.0419205299120507,0.0256785512097452,0.00108969492521233,0.00255687647849185,0.364537877583484,0.00393260643410448,0.00791560922270918,0.511348626516317,0.0341585204308006,0.427019269695786,0.00419002191309901,0.019907489510303,0.00337607193369455,1,1,4
"40001",0.353661352671917,0.00817142877427575,0.260273967209758,0.000246682444199333,0.00331407251314965,0.00015501733431464,0.0284502589738299,0.0159490052636917,0.000600985593096603,0.00136700325905215,0.321847899303855,0.00216607442357765,0.00379625223528186,0.52944314051664,0.0241123041788598,0.429805128199412,0.00226292115841677,0.0126047854804019,0.00177172046626933,1,1,5
"50001",0.387675230390055,0.0066040804865852,0.280107705786888,0.000167083796834025,0.00240729091874939,0.000101921947942237,0.0198061709147573,0.0101410611917471,0.000344582235517296,0.000765098397421015,0.288688196723277,0.00124670156318854,0.00194487564703764,0.542246560150245,0.0174546626667311,0.429846480685573,0.00128687163735989,0.00818451665450637,0.000980908205584333,1,1,6
"60001",0.413354010812769,0.00532059467193152,0.293900479573639,0.000113642611434245,0.00174215804705839,6.74357994277187e-05,0.0141232652594957,0.00659416320102509,0.000204571925592324,0.000444977366204965,0.262340300189801,0.000744455094404828,0.00104994544721593,0.551760784445287,0.0129294457567511,0.428542702176921,0.000763147029302143,0.00543671923854275,0.000567201353195685,1,1,7
"70001",0.433420231754495,0.00430397320232091,0.30385100856463,7.81213766302987e-05,0.00126533695332217,4.51640550527423e-05,0.0102955063557113,0.00437795634398464,0.000125260350860989,0.000267502371425678,0.240919231447483,0.000458879797718468,0.00059182742636441,0.559126238560486,0.00977980418342985,0.426598240364758,0.000468829355314096,0.0036867042154214,0.000340183320590144,1,1,8
"80001",0.449569892005638,0.00350734991591239,0.311269826029179,5.44157520208916e-05,0.000925499316486385,3.06822868310476e-05,0.00765766993145714,0.00296287818465498,7.88345682650364e-05,0.000165542760158334,0.223140526365245,0.000290851586254369,0.000346031297897862,0.565026662036972,0.00753928255775112,0.424379200187112,0.000296930712263571,0.00254738167187602,0.00021054283402571,1,1,9
"90001",0.462895219168261,0.00288361832732774,0.316964157005156,3.84395082445039e-05,0.000682811335868132,2.11542484457385e-05,0.00580098916020297,0.00204094214637403,5.08517460129339e-05,0.000105114032476184,0.208118894171742,0.000188988132458466,0.000208821017430142,0.569889964337138,0.00591341047656348,0.422078878667119,0.000193162950385227,0.00179064292819826,0.000133940640595321,1,1,10
"100001",0.474122438793406,0.00239329485967172,0.321447259552484,2.75398922921045e-05,0.000508487177809694,1.47990488915531e-05,0.00446848983063749,0.00142899091143292,3.35372286627859e-05,6.82978668187944e-05,0.195231719602736,0.000125578762848872,0.000129566472307487,0.573994137922144,0.00471192356846615,0.41979920922162,0.000128692300099181,0.0012787259789868,8.73110086835912e-05,1,1,11
"110001",0.483749056507449,0.00200537142792635,0.325055417165858,2.00053383222071e-05,0.000382292247956813,1.04994284525638e-05,0.00349498571093558,0.00101573303054159,2.25676456249071e-05,4.53072774307933e-05,0.184031205837093,8.51587130145483e-05,8.23996693947469e-05,0.577525885559696,0.00380917691813387,0.417592619877908,8.76017958743926e-05,0.000926545680175461,5.81701682128718e-05,1,1,12
"120001",0.492125423940708,0.00169613735170708,0.328015229559417,1.47270314652894e-05,0.00029013908288011,7.54921477835386e-06,0.00277203159220233,0.000732160221445434,1.54674138328608e-05,3.06273653046039e-05,0.174188097388149,5.88336884690417e-05,5.35761496409909e-05,0.580614417789157,0.00312049935031626,0.415484287722487,6.08069408897391e-05,0.000680462234528628,3.95259626205847e-05,1,1,13
"130001",0.499504590814284,0.00144764412497961,0.330483424353425,1.09803487272521e-05,0.000222229353807944,5.49706058696844e-06,0.00222701666079868,0.000534665719924974,1.07810300396163e-05,2.10628149355913e-05,0.165455218748147,4.1349302126152e-05,3.55396682165892e-05,0.583351631796793,0.00258775038447812,0.413484289865497,4.29687928462344e-05,0.000506016899274325,2.73422611106704e-05,1,1,14
"140001",0.506073607135679,0.00124633091013764,0.332571054527879,8.28657572274659e-06,0.000171723837738877,4.05079553956914e-06,0.00181042456880603,0.000395204965828496,7.63197811160791e-06,1.47152630641601e-05,0.157643434627083,2.95257267567495e-05,2.40090876531862e-05,0.585804538248233,0.00217030757252789,0.411594375838943,3.08669427657897e-05,0.000380685466794069,1.92259307363175e-05,1,1,15
"150001",0.511973683362629,0.00108192678494829,0.334358585032015,6.32572060416772e-06,0.000133820172777408,3.01876814901199e-06,0.00148790862680664,0.000295444049000531,5.48075578740511e-06,1.04309242593144e-05,0.150605486908022,2.13960843462816e-05,1.64928106552617e-05,0.588023129931819,0.00183932794230063,0.409811799312302,2.2512942446888e-05,0.000289506461183207,1.37234099482487e-05,1,1,16
"160001",0.517313486796206,0.000946614819820673,0.335905527338123,4.88130703671672e-06,0.000105121542493816,2.27359004845266e-06,0.00123526500471717,0.000223212984461624,3.98858717891238e-06,7.49383927466509e-06,0.144224909687086,1.57192519888139e-05,1.1505251563125e-05,0.590045491684035,0.00157402449010085,0.408131506215824,1.66527685477674e-05,0.000222392496289149,9.93234520242889e-06,1,1,17
"170001",0.522178107817802,0.000834409004922548,0.33725673263086,3.80513179935676e-06,8.32060236287591e-05,1.72948694096363e-06,0.00103518503467909,0.000170317373719769,2.93879131379238e-06,5.4511907524743e-06,0.138408278913751,1.16975917984538e-05,8.14100803118503e-06,0.591901196626689,0.00135920715283318,0.406547387609267,1.2480158027344e-05,0.000172447140536745,7.28131264596114e-06,1,1,18
"180001",0.526635232614053,0.00074069390814066,0.338446590603303,2.99454171112418e-06,6.63323694363008e-05,1.32797977984147e-06,0.00087512047757304,0.000131165522111489,2.19040409440987e-06,4.01151933168948e-06,0.133079693198246,8.80974391394331e-06,5.8371183047966e-06,0.593613612305013,0.00118363187193495,0.405052992816533,9.46746876610021e-06,0.000134893743208689,5.40179454369058e-06,1,0.999999999999999,19
"190001",0.530739475579588,0.000661885287040705,0.339501887331372,2.37762334601586e-06,5.32381291120909e-05,1.02871928957733e-06,0.00074585751627476,0.000101893619596633,1.65026336905185e-06,2.98415610746213e-06,0.128176775174391,6.70954755899171e-06,4.23705295334898e-06,0.595201498100413,0.00103887499444981,0.403641927903858,7.26370430226247e-06,0.000106383192456363,4.05210452005915e-06,1,1,20
"200001",0.547291485666078,0.000411452782391965,0.343372177801849,8.39334761895196e-07,1.93529824912458e-05,3.22062805080488e-07,0.000372688300524611,3.22474051875456e-05,4.60172096582329e-07,7.81966801928279e-07,0.10849520587661,1.98485168059188e-06,1.00079672112266e-06,0.601725599554099,0.000598956157948087,0.397636071242201,2.22864610400274e-06,3.60344679395032e-05,1.10993170785623e-06,0.999999999999999,0.999999999999999,25
"210001",0.559377284156447,0.000287459538684952,0.345816948474268,3.4068151432166e-07,7.89992470430752e-06,1.17735920165594e-07,0.000214560304583611,1.1837487878728e-05,1.54071034088031e-07,2.47410054754403e-07,0.0942821515699361,7.06323626723429e-07,2.92321345662388e-07,0.606625688813931,0.000395141573014397,0.392963991723399,8.19599069004455e-07,1.39910938953258e-05,3.67196688863876e-07,0.999999999999998,0.999999999999998,30
