"","mean_R1","mean_R2","mean_R3","mean_R4","mean_R5","mean_R6","mean_T1","mean_T2","mean_T3","mean_T4","mean_T5","mean_T6","mean_T7","mean_R1_with_ties","mean_R2_with_ties","mean_R3_with_ties","mean_R4_with_ties","mean_R5_with_ties","mean_R6_with_ties","sum_check1","sum_check2","sample_size_in_simulaton"
"140001",0.0992561241356066,0.141845495865462,0.117957249678345,0.092627624850407,0.0697615808689945,0.0400836881086284,0.0718893014540168,0.0617647236549765,0.0444207200352174,0.0465541420767517,0.0808303211168618,0.100895645271164,0.0321133828835678,0.180968165901641,0.233590199708647,0.194607002544859,0.170638037984193,0.129273244215453,0.0909233496452076,1,1,15
"150001",0.101619678972622,0.147177940929708,0.121956615979135,0.0950356359459237,0.0711290044696566,0.040163958599747,0.0699608682720468,0.0601850306986378,0.0426511890666387,0.0443793291216148,0.0781252059669272,0.0980582103762288,0.0295573316011135,0.180588938025628,0.236113702187365,0.196037956245436,0.170316557600876,0.128337406313302,0.0886054396273926,1,1,16
"160001",0.103757893239987,0.152200675532293,0.125720561662811,0.0972025760640712,0.0723351509174027,0.0401585898591897,0.0681365682363661,0.0586940594013394,0.040997459128817,0.0423927999088233,0.0756377153750685,0.0954403784593064,0.0273255722145232,0.180199297081459,0.238543410915883,0.197440711086769,0.169975756893887,0.127432842608238,0.0864079814137637,1,1,17
"170001",0.105701167928672,0.15694823409455,0.129276567542792,0.0991586010512109,0.0734016544822445,0.0400838671985342,0.0664098631215181,0.0572851741725325,0.0394500208500664,0.0405697894538279,0.0733393525201523,0.0930136045934601,0.025362102990438,0.17980279291458,0.240886985117112,0.198815848054208,0.169617430938047,0.126556153460498,0.0843207895155543,0.999999999999999,0.999999999999999,18
"180001",0.107474593096831,0.161449660282728,0.132647468029819,0.100928912371588,0.0743463695293917,0.0399527919833241,0.0647741748382814,0.0559520361174654,0.0379999939259453,0.0388899246882775,0.0712067480323522,0.0907543331524103,0.0236229939515847,0.179402220190746,0.243151079936671,0.200164025763326,0.169243241569363,0.125704515590861,0.082334916949033,0.999999999999999,0.999999999999999,19
"190001",0.109099076318477,0.165729596316248,0.135852440936717,0.102534751671955,0.0751841839631688,0.0397758339441661,0.0632231442993234,0.0546887306447979,0.036639216754632,0.0373362562799114,0.0692205142219088,0.0886429486216203,0.0220733060270743,0.178999789916938,0.245341527114565,0.201485947707916,0.168854718697927,0.124875561763369,0.0804424547992835,0.999999999999999,0.999999999999999,20
"200001",0.115518411762504,0.184452888804626,0.149883921430932,0.108646536045878,0.0781489013907922,0.0384519899300233,0.0565418725265185,0.0492450851527117,0.0309372318982733,0.0310300761972347,0.0609939624086495,0.0798066785838176,0.0163424438680372,0.177010069874761,0.255350905004467,0.207727185856286,0.166742231931596,0.121010222710438,0.0721593846224502,0.999999999999999,0.999999999999999,25
"210001",0.120004778695266,0.199867880545002,0.161463674458398,0.112523218306275,0.0797232354441124,0.0367798189114782,0.0512448421205937,0.0449091249499608,0.0266079580642084,0.0264219990853247,0.0547684872891927,0.0729888448136988,0.0126961373164875,0.175127466286241,0.26410074689823,0.213418503464056,0.164437642631309,0.117504820347836,0.065410820372326,0.999999999999998,0.999999999999998,30
"220001",0.123294333367094,0.212971269534368,0.171334104851015,0.114970448245949,0.0804408728206557,0.0350251770990025,0.046936617198523,0.0413540844942138,0.0232207928365583,0.0229033139436761,0.049851284672255,0.0674935626453608,0.0102041382913264,0.173388974017704,0.271887049171531,0.218637479149471,0.162028315702129,0.114270261754822,0.0597879202043408,0.999999999999997,0.999999999999997,35
"230001",0.125794660664569,0.224363326143227,0.17993716611562,0.116452133373835,0.0806013924428975,0.0333013926323684,0.0433574716810087,0.038371688091626,0.0205054329098245,0.0201292052180538,0.0458470977803013,0.0629271379613669,0.00841189498529809,0.171798927892774,0.278907613461965,0.223448541549134,0.15957040130698,0.111253821595287,0.0550206941938572,0.999999999999996,0.999999999999996,40
"240001",0.127749882020063,0.234434856663929,0.187558943708893,0.117256225869737,0.080386503256736,0.0316567592091786,0.0403315836424326,0.0358235058554341,0.0182849494296311,0.0178878569587875,0.0425103571847042,0.0590460766206425,0.00707249957982724,0.170349602363602,0.285302436725438,0.227904625158933,0.157100488824845,0.108420934593818,0.0509219123333591,0.999999999999996,0.999999999999996,45
"250001",0.129314911374199,0.243455143729419,0.194396138044417,0.11757146075695,0.0799126917713678,0.0301098237972094,0.0377359915356139,0.0336138205554617,0.0164390162565296,0.016041300228118,0.0396789281935006,0.0556897100465738,0.00604106371063521,0.169029215190529,0.291174838472286,0.23204935637067,0.154642667860274,0.10574709611493,0.0473568259913057,0.999999999999995,0.999999999999995,50
