"","mean_R1","mean_R2","mean_R3","mean_R4","mean_R5","mean_R6","mean_T1","mean_T2","mean_T3","mean_T4","mean_T5","mean_T6","mean_T7","mean_R1_with_ties","mean_R2_with_ties","mean_R3_with_ties","mean_R4_with_ties","mean_R5_with_ties","mean_R6_with_ties","sum_check1","sum_check2","sample_size_in_simulaton"
"1",0,0,0,0,0,0,0.535938249357465,0.0257955798489053,0.0247686255119719,0.00615107927717614,0.133503505983916,0.136535248764969,0.137307711255596,0.35760549621329,0.359121367603816,0.10253416145901,0.10353655568107,0.0388579481056401,0.0383444709371734,1,1,1
"10001",0.139336829785771,0.143833929446835,0.00783040019226232,0.00738942150593092,0.000399575591042636,0.000366107466323442,0.471595816648631,0.0106955343081931,0.00991230246783367,0.00325483557056193,0.0833120169766026,0.0834425069909357,0.038630723049076,0.423229200439901,0.427791545108132,0.0612726296761728,0.0605052800768283,0.0138132143719328,0.0133881303270339,1,1,2
"20001",0.226753240247086,0.233674791677116,0.00783270312130109,0.00702533318998973,0.000329572427143144,0.000290518351352806,0.400230831980897,0.00489749815950597,0.00440589991869046,0.00154472370198537,0.0500658482653512,0.0488816686990835,0.0140673702604982,0.454246142080293,0.460575603727189,0.0376589380438127,0.0360136792089597,0.00589524506797185,0.00561039187177376,1,1,3
"30001",0.281215922199693,0.28939345381392,0.00637744116237147,0.0054258150562076,0.000219787579050219,0.000187770401552631,0.345848950680687,0.00241573624338177,0.00211132821553332,0.000765498671473323,0.0309272653529524,0.029260852637232,0.00585017798594503,0.470579059880837,0.477923385137204,0.0240239716248627,0.0220869351469145,0.00278543470080194,0.00260121350938012,1,1,4
"40001",0.316948771459259,0.325766063929196,0.00491821071584708,0.00395824148107852,0.000140150540830856,0.000116500979325275,0.305047244587272,0.00125940935990051,0.0010706639199694,0.000398204222608325,0.0197246162420634,0.0179884553524631,0.00266346721018762,0.479778613075624,0.487727825100761,0.015854134718527,0.0139317123189927,0.00141286853378321,0.00129484625231207,1,1,5
"50001",0.341660266368076,0.350809437388314,0.00373863406773381,0.00283974004474279,8.89311191560223e-05,7.21352295283716e-05,0.273705821243549,0.000686829388241585,0.000568880119690125,0.000216290783346651,0.0129672252338899,0.0113475608475965,0.00129824816613514,0.485213164301152,0.493552503128242,0.0107820360731554,0.00901433522274197,0.000756865899305997,0.000681095375402616,1,1,6
"60001",0.3595795761924,0.368916167487956,0.00284271197867047,0.00203420561527346,5.68865348569059e-05,4.51394212368556e-05,0.248936095053283,0.000389088049878394,0.000314558285185307,0.000121995893165118,0.00876409979532637,0.00733131956496607,0.00066815612780139,0.488541032971339,0.497161234151714,0.00753066525590642,0.00596850389498271,0.000423787861012227,0.000374775865045633,1,1,7
"70001",0.373118634687898,0.382581744402353,0.00217538497006734,0.00146466830397445,3.68530616761304e-05,2.86745237873322e-05,0.228840977073336,0.000227756500171035,0.0001800721613233,7.11170565306633e-05,0.00607321019098581,0.00484122595905831,0.000359681108838171,0.490635675171532,0.499482792770024,0.00538581516711879,0.00403526421563829,0.000246236691500008,0.000214215984187342,1,1,8
"80001",0.383711604103757,0.393281297579354,0.00167982452625908,0.00106328067223603,2.42147815299066e-05,1.85162717834629e-05,0.21216826510984,0.000137186305062703,0.000106284330492199,4.26786277200918e-05,0.00430427292822083,0.00326142632650707,0.000201148437237436,0.491981397862327,0.501029668037067,0.00393407888244042,0.00278066074027524,0.000147671987460877,0.000126522490429181,1,1,9
"90001",0.392246167056734,0.401921267604907,0.0013102405737734,0.000779335427854884,1.61391207730409e-05,1.21543520213875e-05,0.198072150235557,8.47427644409084e-05,6.44620923511311e-05,2.62798780470489e-05,0.00311305236171827,0.00223774896477122,0.000116259567050504,0.49285814494988,0.50209559379958,0.00292851473136141,0.00194981755092448,9.10270365254369e-05,7.69019317288948e-05,1,1,10
