"","mean_R1","mean_R2","mean_R3","mean_R4","mean_R5","mean_R6","mean_T1","mean_T2","mean_T3","mean_T4","mean_T5","mean_T6","mean_T7","mean_R1_with_ties","mean_R2_with_ties","mean_R3_with_ties","mean_R4_with_ties","mean_R5_with_ties","mean_R6_with_ties","sum_check1","sum_check2","sample_size_in_simulaton"
"1",0,0,0,0,0,0,0.153839941981008,0.00184857682916087,0.0247686255119719,0.00615107927717614,0.0382090190832127,0.614570818465892,0.160611938851579,0.122793137007373,0.410974036698713,0.04679745443145,0.346438378464195,0.0307684845284317,0.0422285088698372,1,1,1
"10001",0.0128604364820865,0.183062784124848,0.000205318461564528,0.0295681790874839,3.6233362951532e-05,0.000366107466323442,0.116793751110354,0.00123783073472486,0.0153032481581725,0.00238573225325956,0.016215471670364,0.586457094963685,0.0355078121241817,0.0852830165598088,0.540606175849232,0.0148499383514726,0.336366319335776,0.00776598354430736,0.0151285663594031,1,1,2
"20001",0.0143696134004557,0.334887685105934,0.000195910699379484,0.0481128307161731,3.17790890054981e-05,0.000306125876199926,0.0753833774459104,0.000590849990280019,0.00708661011263631,0.00089542336597388,0.00650967142512856,0.501498843394092,0.0101312793788319,0.0570046843991138,0.625017342089073,0.00543471797022242,0.304094104032676,0.00246346233027109,0.00598568917864366,1,1,3
"30001",0.0123259194700424,0.446353244960799,0.000134012532537425,0.0568011341949367,2.02545083719206e-05,0.000189554167178024,0.0485990631801964,0.000271239991922062,0.0031860606777596,0.000361788628044341,0.00277667996809448,0.425548883915107,0.00343216380501098,0.038585818345023,0.683999245809286,0.00222999981338086,0.271740633792205,0.000908796119190285,0.00253550612091516,1,1,4
"40001",0.00984768700887343,0.529339069167856,8.3697245746627e-05,0.0601656019297192,1.18870986290474e-05,0.000108356720871367,0.0321466516077402,0.000127827978488449,0.00146656713558694,0.000157573551708705,0.00126908923772642,0.363966702008339,0.00130928930871502,0.0267737723163926,0.727613960860681,0.0010003707386399,0.243100451386468,0.000372802748513462,0.00113864194930503,1,1,5
"50001",0.00772610039718798,0.593042740482863,5.1310944527612e-05,0.0607460870319901,6.87977394650363e-06,6.0891112004945e-05,0.0218972999045511,6.28088253998242e-05,0.000699647869581379,7.31916805018378e-05,0.000617270089005388,0.314470118514278,0.000545653374163009,0.0190743276229934,0.761317391921304,0.000482292630757386,0.218421912452947,0.000165822255924503,0.000538253116073722,1,1,6
"60001",0.00606553451916969,0.6433821220021,3.17402702328337e-05,0.0598352414893315,4.02466603710871e-06,3.44163667701439e-05,0.0153382864808195,3.22442917877127e-05,0.00034645015956171,3.59159966810666e-05,0.000317156355563285,0.27433288180653,0.000243985595416091,0.0139339202032638,0.788258370411677,0.000247104859811014,0.19721557173828,7.87690761741802e-05,0.000266263710794214,1,1,7
"70001",0.004800524092912,0.684146682795369,2.00436661170889e-05,0.05811372659407,2.40271034468028e-06,1.97473436875336e-05,0.0110206509381722,1.72678584517431e-05,0.000177801685384322,1.84874477548459e-05,0.00017116045475789,0.241375806645404,0.000115697767574328,0.0104157127506394,0.81036419454842,0.000133540783984293,0.178909813720727,3.95633247103628e-05,0.000137174871519505,1,1,8
"80001",0.00384144264167815,0.71782961410825,1.29872626035798e-05,0.0559592522183761,1.46914108830278e-06,1.15463488466132e-05,0.00810159597006441,9.62277237298661e-06,9.43602813088052e-05,9.92885741499475e-06,9.66122915407108e-05,0.213973848944422,5.77191620339313e-05,0.0079501666328197,0.828876956425832,7.5724654899417e-05,0.16300297669158,2.0864816321282e-05,7.33107785475017e-05,1,1,9
"90001",0.00311105771311317,0.74612559236969,8.65151600441867e-06,0.0535911679489183,9.20987252145053e-07,6.88946592818134e-06,0.00607926626289461,5.56558050973284e-06,5.16658384408257e-05,5.54031924498128e-06,5.68561656099192e-05,0.190926708204424,3.01176279697064e-05,0.00618413853202705,0.844633599208011,4.48819937258624e-05,0.149085374575012,1.14935417911199e-05,4.05121494327026e-05,1,1,10
"100001",0.00255010258082161,0.770223397123133,5.92697174019738e-06,0.0511410365298712,5.91775680635472e-07,4.19605085942715e-06,0.00464678851746164,3.33255582044836e-06,2.91239296536248e-05,3.20114895233594e-06,3.47959083041534e-05,0.171341142404352,1.63645033497976e-05,0.00489362221092947,0.858220090001265,2.77186210274645e-05,0.136828897114099,6.58604529199389e-06,2.30860073873738e-05,1,1,11
"110001",0.00211488388116354,0.790981178961286,4.17277496338698e-06,0.0486891961497945,3.89375777456428e-07,2.60773390880649e-06,0.0036115564409397,2.06088162444285e-06,1.68689203476768e-05,1.90970773123916e-06,2.20956398117458e-05,0.154543853023561,9.22650909018416e-06,0.00393324767305429,0.870060421445051,1.7788787196512e-05,0.125971094873264,3.91242197032812e-06,1.35347994632952e-05,1,1,12
"120001",0.00177359802678353,0.809034411620182,3.01478741641275e-06,0.0462848466862099,2.62013377589511e-07,1.65260938655988e-06,0.00284967956951606,1.31316903142687e-06,1.00220362437958e-05,1.17335682148336e-06,1.45267036436687e-05,0.140020117240578,5.38218081038413e-06,0.00320659819349845,0.880470207055363,1.18317538890246e-05,0.116300813354756,2.40230643910865e-06,8.14733605426348e-06,1,1,13
"130001",0.00150311482585981,0.824864369182257,2.23108570350348e-06,0.0439576678778845,1.8003894520133e-07,1.06710022621245e-06,0.00227963810621213,8.60165392790821e-07,6.09770727144485e-06,7.40825024225447e-07,9.86575055829146e-06,0.12737092712195,3.24021271451148e-06,0.00264840678969744,0.889690191831791,8.1340791314632e-06,0.107646720327948,1.52056960612804e-06,5.02640182646617e-06,1,1,14
"140001",0.00128652958151802,0.838842814614623,1.68759391280851e-06,0.041724833055615,1.26124479239065e-07,7.01411508990325e-07,0.00184666062003866,5.77897366625118e-07,3.79391200695604e-06,4.79643548527442e-07,6.9047889916248e-06,0.116282882100455,2.0086559361886e-06,0.00221364706202252,0.897907920750858,5.76371308129824e-06,0.0998685058378352,9.89670926180112e-07,3.17296527609683e-06,1,1,15
"150001",0.00111139189938487,0.851261947099583,1.30171665346576e-06,0.0395953911677571,8.99310178791908e-08,4.68876852527951e-07,0.00151323500761737,3.97332125382496e-07,2.41064332872466e-06,3.1782509982199e-07,4.96723465356362e-06,0.106506801736923,1.27952900401657e-06,0.00187070627535434,0.905272178726687,4.19725487694158e-06,0.0928502106127167,6.60764464484196e-07,2.04636590080404e-06,1,1,16
"160001",0.000968448670400808,0.862354966208524,1.02155188620494e-06,0.0375730794323132,6.51615755295869e-08,3.18450253155424e-07,0.00125321306828447,2.78957784444439e-07,1.56227176437905e-06,2.1513733596619e-07,3.66321442658228e-06,0.0978423319855161,8.3588993451682e-07,0.00159702612674542,0.911902878050414,3.13195298080443e-06,0.0864951658759426,4.51524124821038e-07,1.34646979241418e-06,1,1,17
"170001",0.000850756735286179,0.872310511203016,8.13831127398461e-07,0.0356581665648987,4.79031260257921e-08,2.19533573497432e-07,0.00104806978150456,1.99565313564682e-07,1.03143526839255e-06,1.48500966248391e-07,2.76197192194707e-06,0.0901267140230047,5.58950991934526e-07,0.00137626577049809,0.91789799626377,2.38775824381009e-06,0.0807221324525338,3.15094764588083e-07,9.02660189473656e-07,1,0.999999999999999,18
"180001",0.000753055493960382,0.881283007859532,6.56807001854599e-07,0.0338486796575537,3.5676297631217e-08,1.53469749350798e-07,0.000884482894373008,1.45183751471489e-07,6.92944482102823e-07,1.04349788373783e-07,2.12341662863961e-06,0.0832264803758327,3.81871048144453e-07,0.0011964222946359,0.92333855313981,1.85475236660089e-06,0.0754623299628858,2.24088242244595e-07,6.15762059279843e-07,0.999999999999999,0.999999999999999,19
"190001",0.000671320949742879,0.889400221245518,5.35986336310511e-07,0.0321412298971998,2.68804100383395e-08,1.08693395802423e-07,0.000752738133573565,1.07205632989957e-07,4.73212817653472e-07,7.45249456961464e-08,1.66041848212297e-06,0.077031236785128,2.66066816310015e-07,0.00104856457024011,0.928292253049338,1.46414286325198e-06,0.0706571292406421,1.62090168766394e-07,4.26906746862234e-07,0.999999999999999,0.999999999999999,20
"200001",0.000414224471108256,0.920365942137308,2.17581986313983e-07,0.0249741647244213,7.45778259826395e-09,2.28484135628098e-08,0.000374398962047383,2.78394768088913e-08,8.67186200833984e-08,1.68020812091807e-08,5.81853382137665e-07,0.053870253303452,5.52999190706267e-08,0.000601724095476195,0.947488277486711,5.316450689657e-07,0.0519093439521105,3.89952147857377e-08,8.38254173875371e-08,0.999999999999999,0.999999999999999,25
"210001",0.000288427268108977,0.940689861958341,9.8097049679334e-08,0.0196531145449488,2.39074886525435e-09,5.91037013261843e-09,0.000215080338780871,8.62033406950298e-09,2.07733956277886e-08,4.7164967091066e-09,2.41974538659132e-07,0.0391531184261772,1.49807064472068e-08,0.000396090921553151,0.960373963837605,2.25891270451519e-07,0.0392296866415196,1.15559486624269e-08,2.11521007089338e-08,0.999999999999997,0.999999999999997,30
"220001",0.000219137093809741,0.954673564941572,4.62014514392601e-08,0.0156676874341598,8.29505737995695e-10,1.75268433756577e-09,0.000137757779572402,2.92533055403202e-09,5.9307824604015e-09,1.49967083925745e-09,1.08466519589068e-07,0.029301680453184,4.69175266583711e-09,0.000288070998814514,0.969393284839909,1.0267933528845e-07,0.0303185314081019,3.82396521227995e-09,6.24986976503476e-09,0.999999999999995,0.999999999999995,35
"230001",0.000177278261962473,0.964638140452418,2.21718849257352e-08,0.0126437107279969,3.01150052299798e-10,5.68530055318464e-10,9.59552796465223e-05,1.04421544496841e-09,1.8911609289329e-09,5.12538718291346e-10,5.03387838995703e-08,0.0224448368581214,1.59158362323714e-09,0.000225281336441621,0.975908536786566,4.81286485352107e-08,0.0238661303679019,1.34479107113586e-09,2.03564381613678e-09,0.999999999999993,0.999999999999993,40
"240001",0.000150042490987625,0.971936894915255,1.07310602851234e-08,0.0103178900112855,1.12386785642501e-10,1.95824375947667e-10,7.13414387818569e-05,3.84177710692166e-10,6.46435705827824e-10,1.83033833270842e-10,2.37767390524297e-08,0.0175237945484181,5.65603979496786e-10,0.00018572519301541,0.980734463003123,2.29057859966005e-08,0.0190797877029798,4.90259887540136e-10,7.04826475413131e-10,0.99999999999999,0.99999999999999,45
"250001",0.000131211047433133,0.977404378337863,5.21539398831272e-09,0.00850558803712298,4.26955902554836e-11,7.02876760429413e-11,5.58054136719024e-05,1.44129501251688e-10,2.31080307617343e-10,6.72388499834561e-11,1.13419973582458e-08,0.0139029998441481,2.06925002462576e-10,0.000159119459755264,0.98438378100126,1.09929449184719e-08,0.0154570881092247,1.82867266283485e-10,2.5393475525377e-10,0.999999999999987,0.999999999999987,50
