"","mean_R1","mean_R2","mean_R3","mean_R4","mean_R5","mean_R6","mean_T1","mean_T2","mean_T3","mean_T4","mean_T5","mean_T6","mean_T7","mean_R1_with_ties","mean_R2_with_ties","mean_R3_with_ties","mean_R4_with_ties","mean_R5_with_ties","mean_R6_with_ties","sum_check1","sum_check2","sample_size_in_simulaton"
"1",0,0,0,0,0,0,0.131389685387439,0.00742596479330787,0.0991571275795331,0.0246319750127287,0.0326316311190657,0.540182316398331,0.164581299709595,0.109440874871518,0.363216217511151,0.0474590145744527,0.347099938607198,0.0434591865212842,0.0893247679143968,1,1,1
"10001",0.00903392431001762,0.136025189092657,0.000681414019591577,0.102837171875635,0.000512328920978581,0.00513020309416296,0.0932051427107771,0.00481298318361177,0.0668104250817693,0.0114583600809062,0.0155146402774918,0.50395442465629,0.0500237926961115,0.0717311145868373,0.442942271558875,0.0191825245328286,0.39655689552735,0.0169852993359228,0.0526018944581859,1,1,2
"20001",0.00978849299293491,0.232907880042586,0.00067526899045459,0.170891854610141,0.000497605481531503,0.0051917736234118,0.0604145657808218,0.00271056162452635,0.0405652280122921,0.00582555039341284,0.00802589551480191,0.442335358916604,0.0201699640164816,0.0473703843101603,0.487644503060712,0.00940515822953232,0.415703808744003,0.00812732215991469,0.0317488234956779,1,1,3
"30001",0.00850202523881005,0.298525798649887,0.000538565048711877,0.212725207982727,0.000390106612919925,0.0042163663883123,0.0397261958174935,0.00158275727643376,0.0249959731500299,0.00322565275766151,0.00451465229409272,0.391615531744824,0.00944116703809673,0.0321959771342859,0.515770190270729,0.0051607976736579,0.422604488269836,0.00436783946965035,0.0199007071818408,1,1,4
"40001",0.00695754888742849,0.344771899812752,0.000411169604172741,0.239137047884594,0.000293172689023903,0.00323515018625663,0.0268250940838798,0.000971181106388012,0.0158540954082519,0.00190572116671244,0.00270711628245083,0.352048103670518,0.00488269921757166,0.0225374372735224,0.535022281892879,0.00306410150152077,0.423901930626907,0.00254540702850274,0.0129288416766674,1,1,5
"50001",0.00559778539399526,0.378906716264897,0.000313355459925172,0.256385999870106,0.00022010434366434,0.00244752699758268,0.0186092686553272,0.000623940301533138,0.0103585190427811,0.00118627993312515,0.00170918453094939,0.32092072283535,0.00272059637076364,0.0162104447155942,0.549125144738696,0.00193335060462704,0.422479053537632,0.00157864718945409,0.0086733592139964,1,1,6
"60001",0.0044975542001868,0.405190087689362,0.000241631526650299,0.267984512447284,0.000167271519822199,0.00185414185135781,0.0132385744066064,0.00041743044629053,0.00695873815608231,0.000771421449137851,0.00112681240984081,0.295943631680206,0.00160819221717234,0.0119482796446058,0.560049222768964,0.00128178499091136,0.419703729401623,0.00102972950373178,0.00598725369016328,1,1,7
"70001",0.00363240521008783,0.426182212187632,0.000189406605327435,0.275958983074767,0.000129254934674769,0.00141550781219454,0.00963608043076997,0.00028937790109196,0.0047953229659304,0.00052075828015864,0.000770954131401414,0.275481739023391,0.000997997442572766,0.00900225539826898,0.568907454821808,0.000885905528669583,0.416263846976523,0.00070065593239553,0.00423988134233452,1,1,8
"80001",0.00295751710109894,0.443475451825925,0.000151125002685261,0.281522326549332,0.000101678858138521,0.0010919660355865,0.00716082254199099,0.000206994276065026,0.00338188608453563,0.000363160496617624,0.000544818871295978,0.258396991405824,0.000645260950904725,0.00691788129955988,0.576361902291649,0.000634575068183217,0.412519308786329,0.0004942997362973,0.00307203281798058,1,1,9
"90001",0.00243051023684267,0.458095145615802,0.0001227271924122,0.285427712977295,8.1416155480071e-05,0.000852077118171993,0.00542215537158964,0.000152241661786166,0.00243577597211068,0.000260604688982381,0.000396156715968277,0.243891312144021,0.000432164149537279,0.00541169363887784,0.582823906731864,0.000468953739545635,0.408663284393617,0.000359866689120558,0.00227229480697474,1,1,10
